icon_name	target_size	category	source	source_dimensions	decoder
back	16	actions	pics/toolbar/back.xpm	22x22	pillow
back	22	actions	pics/toolbar/back.xpm	22x22	pillow
back	24	actions	pics/toolbar/back.xpm	22x22	pillow
back	32	actions	pics/toolbar/back.xpm	22x22	pillow
back	48	actions	pics/toolbar/back.xpm	22x22	pillow
back-gray	16	actions	pics/toolbar/back_gray.xpm	22x22	pillow
back-gray	22	actions	pics/toolbar/back_gray.xpm	22x22	pillow
back-gray	24	actions	pics/toolbar/back_gray.xpm	22x22	pillow
back-gray	32	actions	pics/toolbar/back_gray.xpm	22x22	pillow
back-gray	48	actions	pics/toolbar/back_gray.xpm	22x22	pillow
bottom	16	actions	pics/toolbar/bottom.xpm	22x22	pillow
bottom	22	actions	pics/toolbar/bottom.xpm	22x22	pillow
bottom	24	actions	pics/toolbar/bottom.xpm	22x22	pillow
bottom	32	actions	pics/toolbar/bottom.xpm	22x22	pillow
bottom	48	actions	pics/toolbar/bottom.xpm	22x22	pillow
bottom-gray	16	actions	pics/toolbar/bottom_gray.xpm	22x22	pillow
bottom-gray	22	actions	pics/toolbar/bottom_gray.xpm	22x22	pillow
bottom-gray	24	actions	pics/toolbar/bottom_gray.xpm	22x22	pillow
bottom-gray	32	actions	pics/toolbar/bottom_gray.xpm	22x22	pillow
bottom-gray	48	actions	pics/toolbar/bottom_gray.xpm	22x22	pillow
cd-mount	16	apps	pics/cd_mount.xpm	32x32	pillow
cd-mount	22	apps	pics/cd_mount.xpm	32x32	pillow
cd-mount	24	apps	pics/cd_mount.xpm	32x32	pillow
cd-mount	32	apps	pics/cd_mount.xpm	32x32	pillow
cd-mount	48	apps	pics/cd_mount.xpm	32x32	pillow
cd-unmount	16	apps	pics/cd_unmount.xpm	32x32	pillow
cd-unmount	22	apps	pics/cd_unmount.xpm	32x32	pillow
cd-unmount	24	apps	pics/cd_unmount.xpm	32x32	pillow
cd-unmount	32	apps	pics/cd_unmount.xpm	32x32	pillow
cd-unmount	48	apps	pics/cd_unmount.xpm	32x32	pillow
cdrom	16	places	pics/cdrom.xpm	32x32	pillow
cdrom	22	places	pics/cdrom.xpm	32x32	pillow
cdrom	24	places	pics/cdrom.xpm	32x32	pillow
cdrom	32	places	pics/cdrom.xpm	32x32	pillow
cdrom	48	places	pics/cdrom.xpm	32x32	pillow
contents	16	actions	pics/toolbar/contents.xpm	22x22	pillow
contents	22	actions	pics/toolbar/contents.xpm	22x22	pillow
contents	24	actions	pics/toolbar/contents.xpm	22x22	pillow
contents	32	actions	pics/toolbar/contents.xpm	22x22	pillow
contents	48	actions	pics/toolbar/contents.xpm	22x22	pillow
contents-gray	16	actions	pics/toolbar/contents_gray.xpm	22x22	pillow
contents-gray	22	actions	pics/toolbar/contents_gray.xpm	22x22	pillow
contents-gray	24	actions	pics/toolbar/contents_gray.xpm	22x22	pillow
contents-gray	32	actions	pics/toolbar/contents_gray.xpm	22x22	pillow
contents-gray	48	actions	pics/toolbar/contents_gray.xpm	22x22	pillow
devious	16	actions	pics/toolbar/devious.xpm	22x22	pillow
devious	22	actions	pics/toolbar/devious.xpm	22x22	pillow
devious	24	actions	pics/toolbar/devious.xpm	22x22	pillow
devious	32	actions	pics/toolbar/devious.xpm	22x22	pillow
devious	48	actions	pics/toolbar/devious.xpm	22x22	pillow
down	16	actions	pics/toolbar/down.xpm	22x22	pillow
down	22	actions	pics/toolbar/down.xpm	22x22	pillow
down	24	actions	pics/toolbar/down.xpm	22x22	pillow
down	32	actions	pics/toolbar/down.xpm	22x22	pillow
down	48	actions	pics/toolbar/down.xpm	22x22	pillow
down-gray	16	actions	pics/toolbar/down_gray.xpm	22x22	pillow
down-gray	22	actions	pics/toolbar/down_gray.xpm	22x22	pillow
down-gray	24	actions	pics/toolbar/down_gray.xpm	22x22	pillow
down-gray	32	actions	pics/toolbar/down_gray.xpm	22x22	pillow
