icon_name	target_size	category	source	source_dimensions	decoder
3floppy-mount	16	apps	pics/3floppy_mount.xpm	32x32	pillow
3floppy-mount	22	apps	pics/3floppy_mount.xpm	32x32	pillow
3floppy-mount	24	apps	pics/3floppy_mount.xpm	32x32	pillow
3floppy-mount	32	apps	pics/3floppy_mount.xpm	32x32	pillow
3floppy-mount	48	apps	pics/3floppy_mount.xpm	32x32	pillow
3floppy-unmount	16	apps	pics/3floppy_unmount.xpm	32x32	pillow
3floppy-unmount	22	apps	pics/3floppy_unmount.xpm	32x32	pillow
3floppy-unmount	24	apps	pics/3floppy_unmount.xpm	32x32	pillow
3floppy-unmount	32	apps	pics/3floppy_unmount.xpm	32x32	pillow
3floppy-unmount	48	apps	pics/3floppy_unmount.xpm	32x32	pillow
5floppy-mount	16	apps	pics/5floppy_mount.xpm	32x32	xpm-fallback
5floppy-mount	22	apps	pics/5floppy_mount.xpm	32x32	xpm-fallback
5floppy-mount	24	apps	pics/5floppy_mount.xpm	32x32	xpm-fallback
5floppy-mount	32	apps	pics/5floppy_mount.xpm	32x32	xpm-fallback
5floppy-mount	48	apps	pics/5floppy_mount.xpm	32x32	xpm-fallback
5floppy-unmount	16	apps	pics/5floppy_unmount.xpm	32x32	xpm-fallback
5floppy-unmount	22	apps	pics/5floppy_unmount.xpm	32x32	xpm-fallback
5floppy-unmount	24	apps	pics/5floppy_unmount.xpm	32x32	xpm-fallback
5floppy-unmount	32	apps	pics/5floppy_unmount.xpm	32x32	xpm-fallback
5floppy-unmount	48	apps	pics/5floppy_unmount.xpm	32x32	xpm-fallback
archive	16	mimetypes	kfind/pics/archive.xpm	22x22	pillow
archive	22	mimetypes	kfind/pics/archive.xpm	22x22	pillow
archive	24	mimetypes	kfind/pics/archive.xpm	22x22	pillow
archive	32	mimetypes	kfind/pics/archive.xpm	22x22	pillow
archive	48	mimetypes	kfind/pics/archive.xpm	22x22	pillow
back	16	actions	pics/toolbar/back.xpm	22x22	pillow
back	22	actions	pics/toolbar/back.xpm	22x22	pillow
back	24	actions	pics/toolbar/back.xpm	22x22	pillow
back	32	actions	pics/toolbar/back.xpm	22x22	pillow
back	48	actions	pics/toolbar/back.xpm	22x22	pillow
ball	16	apps	kmenuedit/icons/mini-ball.xpm	16x14	xpm-fallback
ball	22	apps	kmenuedit/icons/mini-ball.xpm	16x14	xpm-fallback
ball	24	apps	kmenuedit/icons/mini-ball.xpm	16x14	xpm-fallback
ball	32	apps	kmenuedit/icons/mini-ball.xpm	16x14	xpm-fallback
ball	48	apps	kmenuedit/icons/mini-ball.xpm	16x14	xpm-fallback
bball	16	apps	kmenuedit/icons/mini-bball.xpm	16x14	xpm-fallback
bball	22	apps	kmenuedit/icons/mini-bball.xpm	16x14	xpm-fallback
bball	24	apps	kmenuedit/icons/mini-bball.xpm	16x14	xpm-fallback
bball	32	apps	kmenuedit/icons/mini-bball.xpm	16x14	xpm-fallback
bball	48	apps	kmenuedit/icons/mini-bball.xpm	16x14	xpm-fallback
binary	16	mimetypes	pics/binary.xpm	32x32	xpm-fallback
binary	22	mimetypes	pics/binary.xpm	32x32	xpm-fallback
binary	24	mimetypes	pics/binary.xpm	32x32	xpm-fallback
binary	32	mimetypes	pics/binary.xpm	32x32	xpm-fallback
binary	48	mimetypes	pics/binary.xpm	32x32	xpm-fallback
blockdevice	16	apps	pics/blockdevice.xpm	32x32	xpm-fallback
blockdevice	22	apps	pics/blockdevice.xpm	32x32	xpm-fallback
blockdevice	24	apps	pics/blockdevice.xpm	32x32	xpm-fallback
blockdevice	32	apps	pics/blockdevice.xpm	32x32	xpm-fallback
blockdevice	48	apps	pics/blockdevice.xpm	32x32	xpm-fallback
bomb	16	apps	kmenuedit/icons/mini-bomb.xpm	16x14	xpm-fallback
bomb	22	apps	kmenuedit/icons/mini-bomb.xpm	16x14	xpm-fallback
