source	reason	detail
kappfinder/pics/xftp.xpm	not-xpm-image	XPM header not found
kcontrol/display/monitor.xpm	non-icon-dimensions	200x160
kcontrol/kcontrol/pics/kdekcc.xpm	non-icon-dimensions	454x114
kcontrol/kdm/pics/monitor.xpm	non-icon-dimensions	200x160
kfm/pics/exclamation.xpm	non-icon-aspect	16x48
kfm/pics/info.xpm	malformed-xpm	unknown XPM palette key 'o'
kfm/pics/question.xpm	non-icon-aspect	16x48
kscreensaver/pixmaps/bat-0.xpm	non-icon-dimensions	147x108
kscreensaver/pixmaps/bat-1.xpm	non-icon-dimensions	147x108
kscreensaver/pixmaps/bat-2.xpm	non-icon-dimensions	147x108
kscreensaver/pixmaps/bat-3.xpm	non-icon-dimensions	147x108
kscreensaver/pixmaps/bat-4.xpm	non-icon-dimensions	147x108
kwm/images/kwm_bottom.xpm	non-icon-aspect	128x43
kwm/images/kwm_left.xpm	non-icon-aspect	39x127
kwm/images/kwm_right.xpm	non-icon-aspect	47x128
kwm/images/kwm_top.xpm	non-icon-aspect	128x43
kwm/images/top_left.xpm	non-icon-dimensions	86x129
