icon_name	target_size	category	source	source_dimensions	decoder
3floppy-mount	16	apps	pics/mini/3floppy_mount.xpm	16x16	pillow
3floppy-mount	22	apps	pics/mini/3floppy_mount.xpm	16x16	pillow
3floppy-mount	24	apps	pics/3floppy_mount.xpm	32x32	pillow
3floppy-mount	32	apps	pics/3floppy_mount.xpm	32x32	pillow
3floppy-mount	48	apps	pics/3floppy_mount.xpm	32x32	pillow
3floppy-unmount	16	apps	pics/mini/3floppy_unmount.xpm	16x16	pillow
3floppy-unmount	22	apps	pics/mini/3floppy_unmount.xpm	16x16	pillow
3floppy-unmount	24	apps	pics/3floppy_unmount.xpm	32x32	pillow
3floppy-unmount	32	apps	pics/3floppy_unmount.xpm	32x32	pillow
3floppy-unmount	48	apps	pics/3floppy_unmount.xpm	32x32	pillow
5floppy-mount	16	apps	pics/mini/5floppy_mount.xpm	16x16	pillow
5floppy-mount	22	apps	pics/mini/5floppy_mount.xpm	16x16	pillow
5floppy-mount	24	apps	pics/5floppy_mount.xpm	32x32	pillow
5floppy-mount	32	apps	pics/5floppy_mount.xpm	32x32	pillow
5floppy-mount	48	apps	pics/5floppy_mount.xpm	32x32	pillow
5floppy-unmount	16	apps	pics/mini/5floppy_unmount.xpm	16x16	pillow
5floppy-unmount	22	apps	pics/mini/5floppy_unmount.xpm	16x16	pillow
5floppy-unmount	24	apps	pics/5floppy_unmount.xpm	32x32	pillow
5floppy-unmount	32	apps	pics/5floppy_unmount.xpm	32x32	pillow
5floppy-unmount	48	apps	pics/5floppy_unmount.xpm	32x32	pillow
applications-package	16	apps	pics/mini/applications_package.xpm	16x16	pillow
applications-package	22	apps	pics/mini/applications_package.xpm	16x16	pillow
applications-package	24	apps	pics/applications_package.xpm	32x32	pillow
applications-package	32	apps	pics/applications_package.xpm	32x32	pillow
applications-package	48	apps	pics/applications_package.xpm	32x32	pillow
applix	16	apps	kappfinder/pics/applix.xpm	32x32	xpm-fallback
applix	22	apps	kappfinder/pics/applix.xpm	32x32	xpm-fallback
applix	24	apps	kappfinder/pics/applix.xpm	32x32	xpm-fallback
applix	32	apps	kappfinder/pics/applix.xpm	32x32	xpm-fallback
applix	48	apps	kappfinder/pics/applix.xpm	32x32	xpm-fallback
archive	16	mimetypes	kfind/pics/archive.xpm	22x22	pillow
archive	22	mimetypes	kfind/pics/archive.xpm	22x22	pillow
archive	24	mimetypes	kfind/pics/archive.xpm	22x22	pillow
archive	32	mimetypes	kfind/pics/archive.xpm	22x22	pillow
archive	48	mimetypes	kfind/pics/archive.xpm	22x22	pillow
back	16	actions	pics/toolbar/back.xpm	22x22	pillow
back	22	actions	pics/toolbar/back.xpm	22x22	pillow
back	24	actions	pics/toolbar/back.xpm	22x22	pillow
back	32	actions	pics/toolbar/back.xpm	22x22	pillow
back	48	actions	pics/toolbar/back.xpm	22x22	pillow
background	16	apps	kcontrol/display/mini-background.xpm	16x16	xpm-fallback
background	22	apps	kcontrol/display/mini-background.xpm	16x16	xpm-fallback
background	24	apps	kcontrol/display/background.xpm	32x32	pillow
background	32	apps	kcontrol/display/background.xpm	32x32	pillow
background	48	apps	kcontrol/display/background.xpm	32x32	pillow
ball	16	apps	kmenuedit/icons/mini-ball.xpm	16x14	xpm-fallback
ball	22	apps	kmenuedit/icons/mini-ball.xpm	16x14	xpm-fallback
ball	24	apps	kmenuedit/icons/mini-ball.xpm	16x14	xpm-fallback
