source	reason	detail
kappfinder/pics/xftp.xpm	not-xpm-image	XPM header not found
kcontrol/display/pics/monitor.xpm	non-icon-dimensions	200x160
kcontrol/kcontrol/pics/kdekcc.xpm	non-icon-dimensions	454x114
kcontrol/kdm/pics/monitor.xpm	non-icon-dimensions	200x160
kcontrol/thememgr/Themes/MGBreizh/activetitlebar.xpm	non-icon-dimensions	156x76
kcontrol/thememgr/Themes/MGBreizh/inactivetitlebar.xpm	non-icon-dimensions	156x76
kcontrol/thememgr/Themes/MGBreizh/panel.xpm	non-icon-dimensions	156x76
kcontrol/thememgr/Themes/Nostalgy/activetitlebar.xpm	non-icon-aspect	94x18
kcontrol/thememgr/Themes/Nostalgy/inactivetitlebar.xpm	non-icon-aspect	94x18
kcontrol/thememgr/Themes/Nostalgy/wm_bottom.xpm	non-icon-dimensions	30x3
kcontrol/thememgr/Themes/Nostalgy/wm_bottomleft.xpm	non-icon-dimensions	3x3
kcontrol/thememgr/Themes/Nostalgy/wm_bottomright.xpm	non-icon-dimensions	3x3
kcontrol/thememgr/Themes/Nostalgy/wm_left.xpm	non-icon-dimensions	3x30
kcontrol/thememgr/Themes/Nostalgy/wm_right.xpm	non-icon-dimensions	3x30
kcontrol/thememgr/Themes/Nostalgy/wm_top.xpm	non-icon-dimensions	30x3
kcontrol/thememgr/Themes/Nostalgy/wm_topleft.xpm	non-icon-dimensions	3x3
kcontrol/thememgr/Themes/Nostalgy/wm_topright.xpm	non-icon-dimensions	3x3
kcontrol/thememgr/Themes/Wood/bottom.xpm	non-icon-dimensions	200x20
kcontrol/thememgr/Themes/Wood/inactivetitle.xpm	non-icon-dimensions	256x20
kcontrol/thememgr/Themes/Wood/left.xpm	non-icon-dimensions	20x200
kcontrol/thememgr/Themes/Wood/right.xpm	non-icon-dimensions	20x200
kcontrol/thememgr/Themes/Wood/titlebar.xpm	non-icon-dimensions	256x20
kcontrol/thememgr/Themes/Wood/top.xpm	non-icon-dimensions	200x20
kcontrol/themes/Themes/MGBreizh/activetitlebar.xpm	non-icon-dimensions	156x76
kcontrol/themes/Themes/MGBreizh/inactivetitlebar.xpm	non-icon-dimensions	156x76
kcontrol/themes/Themes/MGBreizh/panel.xpm	non-icon-dimensions	156x76
kcontrol/themes/Themes/Nostalgy/activetitlebar.xpm	non-icon-aspect	94x18
kcontrol/themes/Themes/Nostalgy/inactivetitlebar.xpm	non-icon-aspect	94x18
kcontrol/themes/Themes/Nostalgy/wm_bottom.xpm	non-icon-dimensions	30x3
kcontrol/themes/Themes/Nostalgy/wm_bottomleft.xpm	non-icon-dimensions	3x3
kcontrol/themes/Themes/Nostalgy/wm_bottomright.xpm	non-icon-dimensions	3x3
kcontrol/themes/Themes/Nostalgy/wm_left.xpm	non-icon-dimensions	3x30
kcontrol/themes/Themes/Nostalgy/wm_right.xpm	non-icon-dimensions	3x30
kcontrol/themes/Themes/Nostalgy/wm_top.xpm	non-icon-dimensions	30x3
kcontrol/themes/Themes/Nostalgy/wm_topleft.xpm	non-icon-dimensions	3x3
kcontrol/themes/Themes/Nostalgy/wm_topright.xpm	non-icon-dimensions	3x3
kcontrol/themes/Themes/Wood/bottom.xpm	non-icon-dimensions	200x20
kcontrol/themes/Themes/Wood/inactivetitle.xpm	non-icon-dimensions	256x20
kcontrol/themes/Themes/Wood/left.xpm	non-icon-dimensions	20x200
kcontrol/themes/Themes/Wood/right.xpm	non-icon-dimensions	20x200
kcontrol/themes/Themes/Wood/titlebar.xpm	non-icon-dimensions	256x20
kcontrol/themes/Themes/Wood/top.xpm	non-icon-dimensions	200x20
kfm/pics/exclamation.xpm	non-icon-aspect	16x48
kfm/pics/info.xpm	malformed-xpm	unknown XPM palette key 'o'
kfm/pics/question.xpm	non-icon-aspect	16x48
kscreensaver/amiga.xpm	non-icon-dimensions	209x258
kscreensaver/pixmaps/bat-0.xpm	non-icon-dimensions	147x108
kscreensaver/pixmaps/bat-1.xpm	non-icon-dimensions	147x108
kscreensaver/pixmaps/bat-2.xpm	non-icon-dimensions	147x108
kscreensaver/pixmaps/bat-3.xpm	non-icon-dimensions	147x108
kscreensaver/pixmaps/bat-4.xpm	non-icon-dimensions	147x108
kscreensaver/pixmaps/matrix.xpm	non-icon-dimensions	56x837
kwm/images/wm_bottom.xpm	non-icon-aspect	128x43
kwm/images/wm_left.xpm	non-icon-aspect	39x127
kwm/images/wm_right.xpm	non-icon-aspect	47x128
kwm/images/wm_top.xpm	non-icon-aspect	128x43
kwm/images/wm_topleft.xpm	non-icon-dimensions	86x129
kwm/pics/greenie.dim.xpm	non-icon-dimensions	507x21
kwm/pics/greenie.light.xpm	non-icon-dimensions	507x21
