icon_name	target_size	category	source	source_dimensions	decoder
3floppy-mount	16	apps	pics/mini/3floppy_mount.xpm	16x16	pillow
3floppy-mount	22	apps	pics/mini/3floppy_mount.xpm	16x16	pillow
3floppy-mount	24	apps	pics/3floppy_mount.xpm	32x32	pillow
3floppy-mount	32	apps	pics/3floppy_mount.xpm	32x32	pillow
3floppy-mount	48	apps	pics/3floppy_mount.xpm	32x32	pillow
3floppy-unmount	16	apps	pics/mini/3floppy_unmount.xpm	16x16	pillow
3floppy-unmount	22	apps	pics/mini/3floppy_unmount.xpm	16x16	pillow
3floppy-unmount	24	apps	pics/3floppy_unmount.xpm	32x32	pillow
3floppy-unmount	32	apps	pics/3floppy_unmount.xpm	32x32	pillow
3floppy-unmount	48	apps	pics/3floppy_unmount.xpm	32x32	pillow
5floppy-mount	16	apps	pics/mini/5floppy_mount.xpm	16x16	pillow
5floppy-mount	22	apps	pics/mini/5floppy_mount.xpm	16x16	pillow
5floppy-mount	24	apps	pics/5floppy_mount.xpm	32x32	pillow
5floppy-mount	32	apps	pics/5floppy_mount.xpm	32x32	pillow
5floppy-mount	48	apps	pics/5floppy_mount.xpm	32x32	pillow
5floppy-unmount	16	apps	pics/mini/5floppy_unmount.xpm	16x16	pillow
5floppy-unmount	22	apps	pics/mini/5floppy_unmount.xpm	16x16	pillow
5floppy-unmount	24	apps	pics/5floppy_unmount.xpm	32x32	pillow
5floppy-unmount	32	apps	pics/5floppy_unmount.xpm	32x32	pillow
5floppy-unmount	48	apps	pics/5floppy_unmount.xpm	32x32	pillow
acroread	16	apps	kappfinder/pics/mini/acroread.xpm	16x14	pillow
acroread	22	apps	kappfinder/pics/mini/acroread.xpm	16x14	pillow
acroread	24	apps	kappfinder/pics/acroread.xpm	32x32	pillow
acroread	32	apps	kappfinder/pics/acroread.xpm	32x32	pillow
acroread	48	apps	kappfinder/pics/acroread.xpm	32x32	pillow
application-settings	16	apps	kcontrol/kcontrol/pics/mini/application_settings.xpm	16x16	pillow
application-settings	22	apps	kcontrol/kcontrol/pics/mini/application_settings.xpm	16x16	pillow
application-settings	24	apps	kcontrol/kcontrol/pics/application_settings.xpm	32x32	pillow
application-settings	32	apps	kcontrol/kcontrol/pics/application_settings.xpm	32x32	pillow
application-settings	48	apps	kcontrol/kcontrol/pics/application_settings.xpm	32x32	pillow
applications-package	16	apps	pics/mini/applications_package.xpm	16x16	pillow
applications-package	22	apps	pics/mini/applications_package.xpm	16x16	pillow
applications-package	24	apps	pics/applications_package.xpm	32x32	pillow
applications-package	32	apps	pics/applications_package.xpm	32x32	pillow
applications-package	48	apps	pics/applications_package.xpm	32x32	pillow
applix	16	apps	kappfinder/pics/applix.xpm	32x32	pillow
applix	22	apps	kappfinder/pics/applix.xpm	32x32	pillow
applix	24	apps	kappfinder/pics/applix.xpm	32x32	pillow
applix	32	apps	kappfinder/pics/applix.xpm	32x32	pillow
applix	48	apps	kappfinder/pics/applix.xpm	32x32	pillow
applixware	16	apps	kappfinder/pics/mini/applixware.xpm	16x16	pillow
applixware	22	apps	kappfinder/pics/mini/applixware.xpm	16x16	pillow
applixware	24	apps	kappfinder/pics/applixware.xpm	32x32	pillow
applixware	32	apps	kappfinder/pics/applixware.xpm	32x32	pillow
applixware	48	apps	kappfinder/pics/applixware.xpm	32x32	pillow
archive	16	mimetypes	kfind/pics/archive.xpm	22x22	pillow
