kind	name	date	commit	tree	sha256	path	widget_style
color	Atlas Green	1998-03-22	2f8b9c0aa60181331f96f7178e896994e2947803	ce04e0f3444ca6fa44d58e5b3421abfb22dadaa6	3b9e27655c0517b2dc87cdb760c00caa88c34d739061c8e24e710b7fc41a8779	kcontrol/display/kcs/AtlasGreen.kcsrc	classic
color	Blue Slate	1998-03-22	2f8b9c0aa60181331f96f7178e896994e2947803	ce04e0f3444ca6fa44d58e5b3421abfb22dadaa6	322f79099f41153d5d44c724c0b13cc466568d189c8ff1d09a508bea3f6d9a03	kcontrol/display/kcs/BlueSlate.kcsrc	classic
color	CDE	1998-03-22	2f8b9c0aa60181331f96f7178e896994e2947803	ce04e0f3444ca6fa44d58e5b3421abfb22dadaa6	d9a1a2037af9eff7138ce87a5ced3793cefae4b8bbbba85ef473eea3ab2dabdd	kcontrol/display/kcs/CDE.kcsrc	motif
color	Desert Red	1998-03-22	2f8b9c0aa60181331f96f7178e896994e2947803	ce04e0f3444ca6fa44d58e5b3421abfb22dadaa6	e99bc91722d8e9773d715b4d0ac1e1685f682ae04ca6a0148e09e8b0955ec628	kcontrol/display/kcs/DesertRed.kcsrc	classic
color	Digital CDE	1998-03-22	2f8b9c0aa60181331f96f7178e896994e2947803	ce04e0f3444ca6fa44d58e5b3421abfb22dadaa6	e274705c3c65929a0e544344259fdba47a7ad254aab4d2b0858e5d6d50887a5f	kcontrol/display/kcs/DigitalCDE.kcsrc	motif
color	Pale Gray	1998-03-22	2f8b9c0aa60181331f96f7178e896994e2947803	ce04e0f3444ca6fa44d58e5b3421abfb22dadaa6	d2d28bb5efad39a110f1ea817b82faa7827c6d26b9bb91ae656073de73a90a8c	kcontrol/display/kcs/PaleGray.kcsrc	classic
color	Solaris CDE	1998-03-22	2f8b9c0aa60181331f96f7178e896994e2947803	ce04e0f3444ca6fa44d58e5b3421abfb22dadaa6	f5f9831e5ba5c7b65657b507c0718346158309c32acd5bebdeb00526f6353fab	kcontrol/display/kcs/SolarisCDE.kcsrc	motif
color	Windows 95	1998-03-22	2f8b9c0aa60181331f96f7178e896994e2947803	ce04e0f3444ca6fa44d58e5b3421abfb22dadaa6	6231b8a2234e805c6b0f2188beb16ddb9579597658b06319a60218a7e6b87261	kcontrol/display/kcs/Windows95.kcsrc	classic
color	Autumn	1998-05-01	7151e9ad1a96063d1f7f9cc4c7e636327fd45e2f	e69e4a19a6ef82b7c7003cdb70d8513824bd97a2	ff01f0cd0bb8bb56de12e23f1515acbb4d3c6e4648284dc29df20b4041388f70	kcontrol/display/kcs/Autumn.kcsrc	classic
color	BeOS	1998-05-01	7151e9ad1a96063d1f7f9cc4c7e636327fd45e2f	e69e4a19a6ef82b7c7003cdb70d8513824bd97a2	30f9129597ccc2267a3cb738db82ede3aae171859e3a35e2a0c3d7cc940c6896	kcontrol/display/kcs/BeOS.kcsrc	classic
